Subject,"CZIB number","Issue date","Valid until","Valid until description",Status,Revision,"Affected Airspace","Affected Country",Applicability,"Applicability description",Description,Recommendation(s),"Referenced publication(s)"
"Airspace of Iran",2024-03,02/10/2024,31/10/2024,"31/10/2024, unless reviewed earlier. 
",Active,,"FIR TEHRAN (OIIX), all altitudes. 
",Iran,"Applies to operators","Air operators:

subject to the provisions of Commission Regulation (EU) 965/2012, planning to conduct operations in the affected airspace (EASA operators).
third Country Operators authorised by EASA, when conducting operations under their TCO authorisation to, from and within the EU (TCO operators).

","This CZIB is issued based on information currently available to EASA and the European Commission to share necessary information for ensuring the safety of flights over zones of interest and indicating areas of high risk.
 
In view of the Iranian attack against Israel on 1 October 2024 and the announced Israeli retaliation, the Iranian airspace represents high risks to be considered by air operators in their risk assessments.
 
EASA will continue to closely monitor the situation, with a view to assess whether there is an increase or decrease of the risk for EU aircraft operators due to the evolution of the threat and risk situation. 
","EASA recommends not to operate in the airspace of Iran at all flight levels.
 
Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications concerning the region issued by Iran, or on behalf of Iran by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities. 
","

Aeronautical Publications issued by Iran, or on behalf of Iran by the Aviation Authorities of the neighbouring States, and by the State of Operator.
"
"Airspace of Israel",2024-02,28/09/2024,31/10/2024,"31/10/2024, unless reviewed earlier. 
",Active,,"FIR TEL AVIV (LLLL), all altitudes. 
",Israel,"Applies to operators","Air operators:-    subject to the provisions of Commission Regulation (EU) 965/2012, planning to conduct operations in the affected airspace (EASA operators).-    third Country Operators authorised by EASA, when conducting operations under their TCO authorisation to, from and within the EU (TCO operators). 
","This CZIB is issued based on information currently available to EASA and the European Commission to share necessary information for ensuring the safety of flights over zones of interest and indicating areas of high risk.
 
Considering the current conflict between Hezbollah and Israel, there is a high risk to civil aviation. The conflict involves rockets, missiles and drones launches from Lebanon with Israeli airstrikes and artillery fire, including systematic activation of air-defence systems.
 
Hezbollah’s possession of all-altitude capable cruise and ballistic missiles, along with the deployment of air assets operating at various altitudes, increases the risk of misidentification and miscalculation.
 
Additionally, cruise missiles and military-grade weaponised drones launched by Hezbollah allies create additional concerns for the safety of airspace in the region.
 
Although, until now the Civil Aviation Authority of the State of Israel has been efficiently managing the risks to civil aviation in its airspace through a tactical deconfliction, it is considered that the current intensity of the conflict represents an overall high risk to civil aviation.
 
EASA will continue to closely monitor the situation, with a view to assess whether there is an increase or decrease of the risk for EU aircraft operators due to the evolution of the threat and risk situation. 
","EASA recommends not to operate within the airspace of Israel at all flight levels.
 
Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications concerning the region issued by Israel, or on behalf of Israel by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities. 
","

Aeronautical Publications issued by Israel, or on behalf of Israel by the Aviation Authorities of the neighbouring States, and by the State of Operator.
"
"Airspace of Lebanon",2024-01,28/09/2024,31/10/2024,"31/10/2024, unless reviewed earlier. 
",Active,,"FIR BEIRUT (OLBB), all altitudes. 
",Lebanon,"Applies to operators","Air operators:-    subject to the provisions of Commission Regulation (EU) 965/2012, planning to conduct operations in the affected airspace (EASA operators).-    third Country Operators authorised by EASA, when conducting operations under their TCO authorisation to, from and within the EU (TCO operators). 
","This CZIB is issued based on information currently available to EASA and the European Commission in order to share information which is considered necessary to ensure the safety of flights over zones of interest and indicate areas of high risk.
 
Considering the current conflict between Hezbollah and Israel there is a high risk to civil aviation. The conflict involves rockets, missiles and drones launches from Lebanon and Israeli airstrikes and artillery fire.
 
Hezbollah’s possession of all-altitude capable air-defence systems, cruise and ballistic missiles, along with the deployment of air assets operating at various altitudes, increases the risk of misidentification and miscalculation.
 
The recent intensification of the conflict, with air strikes targeting southern Beirut and the North-East part of the Lebanese territory, marks a sharp escalation in the military activity that constitutes a threat to civil aviation.
 
In terms of airspace management, the State concerned has not demonstrated full capability to address existing airspace risks by implementing an efficient and proactive approach to the airspace deconfliction. As a result, there are limited mitigating factors, on which air operators can rely.
 
Considering the above and the current intensity of the conflict, it is considered that there is a high-risk in the entire airspace of Lebanon.
 
EASA will continue to closely monitor the situation, with a view to assess whether there is an increase or decrease of the risk for EU aircraft operators due to the evolution of the threat and risk situation. 
","EASA recommends not to operate within the airspace of Lebanon at all flight levels.
 
Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications concerning the region issued by Lebanon, or on behalf of Lebanon by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities. 
","

Aeronautical Publications issued by Lebanon, or on behalf of Lebanon by the Aviation Authorities of the neighbouring States, and by the State of Operator.
"
"Airspace of South Sudan ",CZIB-2018-03R15,31/07/2024,31/01/2025,,Active,"31/07/2024 - The CZIB validity was extended until 31 January 2025. No changes to the content. 
","South Sudan airspace, below Flight Level (FL) 250. 
","South Sudan","Applies to operators",,"Following six years of civil war, a ceasefire is currently in place, and has largely held since February 2020. On 4 August 2022, parties to the peace deal agreed to extend it for another 24 months starting  in February 2023, when the original deal is expected to expire.Nevertheless, the security situation remains volatile and despite of the positive developments, there are continuous risks to flight operations safety deriving from possible use of small arms fire, rocket-propelled grenades, anti-aircraft fire, and shoulder-fired MANPADS (man-portable air-defence systems) owned by violent non state actors. Due to the ongoing situation it the region, the airspace is assessed to pose a HIGH risk to operations at altitudes below FL 250. The Agency draws the attention of the aviation community to the above referenced information, copies of which are attached to this CZIB.
","EASA recommends air operators not to conduct flights over South Sudan at or below FL 250. 
Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications concerning the region issued by or on behalf of South Sudan and by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities. 
","

Aeronautical Publications issued by or on behalf of South Sudan, by the Aviation Authorities of the neighbouring States and by the State of Operator.
"
"Airspace of Sudan",CZIB-2023-01R4,31/07/2024,31/01/2025,,Active,"31/07/2024 - The CZIB validity was extended until 31 January 2025. No changes to the content. 
 
","All altitudes / flight levels of the FIR KHARTOUM (HSSS) over the territory of Sudan.
",Sudan,"Applies to operators","Air operators:- subject to the provisions of Commission Regulation (EU) 965/2012, planning to conduct operations in the affected airspace (EASA operators).- third Country Operators authorised by EASA, when conducting operations under their TCO authorisation to, from and within the EU (TCO operators).
","This CZIB is issued based on information currently available to EU Member States and EU institutions. Due to the current volatile situation in Sudan caused by on-going  armed clashes between the Sudan Armed Forces (SAF) and the opposition Rapid Support Forces (RSF), there is a continued possible threat to civil aviation.The primary threat to civil aviation stems from military operations with the availability for use in the conflict of air assets, anti-aircraft artillery (AAA) systems, MANPADS and SAM systems. Aircraft on the ground are also at risk given military operations affecting airports. Based on the existing security situation, there is continuous risk to aviation due to potential misidentification, miscalculation or collateral damage by the parties engaged, when using anti-aircraft weaponry.The presence and possible use of a wide range of weapon systems poses a HIGH risk for civil flights operating at all altitudes and flight levels. 
","In view of the existing risk posed by military activities with the use of air assets and air-defence capabilities of the parties engaged in the conflict, EASA recommends not to fly within the airspace over Sudan at all altitudes and flight levels. Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications concerning the region issued by or on behalf of Sudan and by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities.  
","

Aeronautical Publications issued by or on behalf of Sudan and by the Aviation Authorities of the neighbouring States and by the State of Operator.
"
"Airspace of Afghanistan",CZIB-2017-08R15,31/07/2024,31/01/2025,,Active,"

31/07/2024 - The validity of the CZIB was extended until 31 January 2025. No changes to the content. 
 


","Afghanistan airspace, Kabul Flight Information Region (FIR OAKX).
",Afghanistan,"Applies to operators",,"Due to the current security situation in Afghanistan since the withdrawal of western military forces and the Taliban takeover of the country in August 2021, there is a continued possible threat to civil aviation resulting in a HIGH risk to operations at altitudes below FL 320.
Extremist non-state actor groups remain active and might sporadically target aviation facilities in multiple ways, including direct rocket or mortar attacks, indirect fire or suicide bombers. 
Additionally, there is an aviation safety concern due to the absence or limited Air Traffic Service (ATS) capacities across the entire country. 
","EASA advises air operators not to conduct flights over FIR Kabul (OAKX) below FL 320. 
Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications concerning the region issued by or on behalf of Afghanistan and by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities. 
","

Aeronautical Publications issued by or on behalf of Afghanistan, by the Aviation Authorities of the neighbouring States and by the State of Operator.
"
"Airspace of Iraq ",CZIB-2017-04R16,31/07/2024,31/01/2025,,Active,"31/07/2024 - The CZIB validity was extended until 31 January 2025. No changes to the content.  
","Iraq airspace.
",Iraq,"Applies to operators",,"This CZIB is issued on the basis of information available to EU Member States and EU institutions. 
Due to the hazardous security situation, with the presence of violent non-state actors and ongoing military operations including short-range ballistic missiles, rockets and drones strikes in the north-eastern part of Iraq, there is a risk of both intentional targeting and misidentification of civil aircraft. 
While unannounced rocket and missile launches that transit airspace used by civilian aircraft pose a latent threat to operations at all altitudes, the overall risk to operations is assessed to be HIGH at altitudes below FL 320. 
","Air operators are recommended to:

Not conduct flights below FL 320, due to the presence of various anti-aircraft weaponry and unannounced missiles and drones strikes;
Closely monitor airspace developments and ensure that robust risk assessment is in place, together with high level of contingency planning for operations at all altitudes over Iraqi airspace, taking into consideration available data on time and areas particularly exposed to potential risks;
Follow all available aeronautical publications concerning the region issued by or on behalf of Iraq and by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities.  

","

Aeronautical Publications issued by or on behalf of Iraq, by the Aviation Authorities of the neighbouring States and by the State of Operator.
"
"Operations in Flight Information Regions: FIR LVIV (UKLV), FIR KYIV (UKBV), UIR KYIV (UKBU), FIR DNIPROPETROVSK (UKDV), FIR SIMFEROPOL (UKFV), FIR ODESA (UKOV), FIR MOSCOW (UUWV), ROSTOV-NA-DONU (URRV) and FIR MINSK (UMMV)",CZIB-2022-01R10,31/07/2024,31/01/2025,"Until 31/01/2025, unless reviewed earlier.
",Active,"Revision No 10 dated 31 July 2024. Extension of the expiry date to 31 January 2025. No changes to the content.  
","All altitudes / flight levels of the following Flight Information Regions: FIR LVIV (UKLV), FIR KYIV (UKBV), UIR KYIV (UKBU), FIR DNIPROPETROVSK (UKDV), FIR SIMFEROPOL (UKFV), FIR ODESA (UKOV); 
All altitudes / flight levels of the airspace within 200NM surrounding the borders with Ukraine in the FIR MOSCOW (UUWV); 
All altitudes / flight levels of the FIR ROSTOV-NA-DONU (URRV).  
 
","Ukraine, Russia, Belarus","Applies to operators, EUROCONTROL Network Manager","1. Air operators:- subject to the provisions of Commission Regulation (EU) 965/2012, planning to conduct operations in the affected airspace (EASA operators).- third Country Operators authorised by EASA, when conducting operations under their TCO authorisation to, from and within the EU (TCO operators).2. EUROCONTROL Network Manager
","Note: This Conflict Zones Information Bulletin (CZIB) is issued by EASA, acting in accordance with Art. 88 of Regulation (EU) 2018/1139, to address an urgent safety problem.
This CZIB is issued on the basis of information currently available to EU Member States and EU institutions. 
In the light of the latest developments, in particular:

on-going military activities in the territory of Ukraine;
the NOTAM A0003/23 issued by Ukraine stating that FIR LVIV (UKLV), FIR KYIV (UKBV), FIR DNIPROPETROVSK (UKDV), FIR SIMFEROPOL (UKFV), FIR ODESA (UKOV) are closed for civil aviation flights; and
the information on a Danger Area affecting, inter alia, the airspace of Ukraine and neighbouring countries, issued by the Russian Federation; 

air operators are reminded that the affected airspace defined above is an active conflict zone or is bordering an active conflict zone. 
Under these circumstances, the aforementioned airspace and critical infrastructure, including airports, are exposed to military activities which result in safety risks for civil aircraft. In particular, there is a risk of both intentional targeting and misidentification of civil aircraft. 
The presence and possible use of a wide range of ground and airborne warfare systems poses a HIGH risk for civil flights operating at all altitudes and flight levels. 
","Operators should not operate within the aforementioned airspace, including landing and departures from airports located in the affected airspace. 
Additionally, operators should exercise caution when operating in the whole FIR Moscow (UUWV) due to heightened military activity which may include launches of mid-range missiles penetrating into controlled airspace.
Operators are reminded that operations within FIR MINSK (UMMV) are prohibited in accordance with EASA Safety Directives SD-2021-02 and SD-2021-03.
Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version).
The Network Manager will publish the warning information on the Network Manager NOP Portal (public version) informing all Aircraft Operators about the Warning and direct them to the Network Manager NOP Portal (password protected version). In case a State or EASA, as competent authority, has implemented measures prohibiting the operators under its responsibility to use the affected airspace, the Network Manager should reject the FPLs where operations in that airspace are planned. 
The situation remains fluid and subject to rapid change. EASA will monitor the developments and will adjust the recommendations accordingly. 
","


Aeronautical Publications issued by the affected Countries and by the Aviation Authorities of the State of Operator. 
EASA Safety Directives SD-2021-02 and SD-2021-03 on the airspace of Belarus.

"
"Airspace of Libya",CZIB-2017-02R15,30/04/2024,31/10/2024,,Active,"
31/01/2024 - The recommendations were amended and the validity of the CZIB was extended until 30 April 2024.
31/10/2023 - The validity of the CZIB was extended until 31 January 2024. No additional changes in relation to the content were introduced.
20/07/2023 - German AIC 12/23 issued on 13 July 2023 superseding AIC 09/23.
23/05/2023 - German AIC 07/23 issued on 18 May 2023 superseding AIC 05/23. Canada AIC 13/23 issued on 18 May 2023 replacing AIC 3/23.
28/04/2023 - The validity of the CZIB was extended until 31 October 2023. No additional changes in relation to the content were introduced.

","Libyan airspace, all altitudes. 
",Libya,"Applies to operators",,"This CZIB is issued on the basis of information available to EU Member States and EU institutions. Due to the hazardous security situation, with the presence of terrorist organisations and ongoing military operations, there is a HIGH risk of both intentional and unintentional attacks to civil aviation at all altitudes. Air navigation services in the country could be degraded or unavailable.
","EASA recommends not to fly within the airspace of Libya at all altitudes and flight levels, except for operations to airports located on the coast under following conditions: -    approach from the sea,-    full coordination with local authorities and ATC, and-    based on a robust risk assessment. Operators should take this information and any other relevant information into account in their own risk assessments, alongside any available guidance or directions from their national authorities, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones.Latest operational information on ‘Closures and warnings’ issued by means of ICAO State Letters, NOTAMs, AICs/AIPs, EASA CZIB may be found in the Network Manager NOP Portal (password protected version).
","


United Kingdom AIP ENR 1.1 issued 16 June 2022 (see Appendix 1)
United States Federal Aviation Administration NOTAM KICZ A0042/20 issued 27 July 2020 & SFAR 112 issued 27 July 2020  (see Appendix 2)
AIC France Circular A 24/22 issued 24 November 2022 (see Appendix 3)
German AIC 12/23 issued 13 July 2023 (see Appendix 4)
Transport Canada AIC 13/23 issued 18 May 2023 (see Appendix 5)

"
"Airspace of Mali ",CZIB-2017-01R16,30/04/2024,31/10/2024,,Active,"The validity of the CZIB was extended until 31 October 2024, the description and recommendation were updated. Referenced publications were removed for consistency purposes. 
","Mali airspace, FIR Niamey (DRRR) and FIR Dakar (GOOO) at altitudes below Flight Level (FL) 260.
",Mali,"Applies to operators",,"This CZIB is issued on the basis of information available to EU Member States and EU institutions. The presence of violent non-state actors (VNSA) groups with access to anti-aviation weaponry is assessed to pose a HIGH risk to operations in FIR Niamey (DRRR) and FIR Dakar (GOOO) within the territoryand airspace of Mali below FL260. The significant increase of severe VNSA attacks and their activity in the north-east of Mali poses a particular high risk to civil aviation in that area and highlights the volatile situation in the country and continuous potential for miscalculation and/or misidentification. VNSA groups are in likely possession of man-portable air-defence systems (MANPADS) and surface-to-air missiles (SAMs) which creates both intentional and unintentional risks for civil aviation operations. 
","EASA recommends air operators to avoid operations in FIR Niamey (DRRR) and FIR Dakar (GOOO) within the territory and airspace of Mali below FL260, in particular at the north-east of Mali.Air operators should closely monitor airspace developments in the region and follow all available aeronautical publications issued by Mali, or on their behalf by the Aviation Authorities of the neighbouring States, including information shared through the European Information Sharing and Cooperation Platform on Conflict Zones, alongside available guidance or direction from their national authorities.
","

Aeronautical Publications issued by or on behalf of Mali, by the Aviation Authorities of the neighbouring States and by the State of Operator.
"
